Filer,Filing,Id,Agency Prefix,Agency Name,Agency,Year,Period Start,Period End,Filing Date,Transaction Type,Filer Name,Department Name,Offices,Position Name,First Name,Middle Name,Last Name,Is City,Description City,Is County,Description County,Is Multi County,Description Multi County,Is State,Is Judge Or Court,Is Candidate,Candidate Election Year,Candidate Office Sought,Is Assuming,Date Assumed Office,Is Leaving,Leaving Statement Start Date,Date Left Office,Is Annual,Annual Start Date,Is Other,Description Other,Categories,Form,Internal,Schedule A1 Count,Schedule A2 Count,Schedule B Count,Schedule C1 Count,Schedule C2 Count,Schedule D Count,Schedule E Count, Comment Count
SFO-154906,172626945,9516e096df564731994726164c5f2061,SFO,SAN FRANCISCO ETHICS COMMISSION,SFO,2017,06/15/2017,12/31/2017,07/20/2018,Cover,"Lai, Sharon",Treasure Island Development Authority,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2017-06-14T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Treasure Island Development Authority,electionDate:N/A",Member,Sharon,,Lai,false,,true,San Francisco,false,,false,false,false,N/A,,false,,false,,,true,06/15/2017,false,,1,228,9516e096df564731994726164c5f2061,0,1,3,3,0,0,0,0
SFO-154906,172614981,62bc1711b602488884f7eb9eeae1bf8b,SFO,City and County of San Francisco,SFO,2017,06/15/2016,06/14/2017,07/20/2018,Cover,"Lai, Sharon",Treasure Island Development Authority,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2017-06-14T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Treasure Island Development Authority,electionDate:N/A",,Sharon,,Lai,false,,true,San Francisco,false,,false,false,false,N/A,,true,06/14/2017,false,,,false,,false,,1,228,62bc1711b602488884f7eb9eeae1bf8b,0,1,2,3,0,0,0,0
SFO-153714,172506963,3b6f5cdbd9a94b0fa39cb900a8802d52,SFO,SAN FRANCISCO ETHICS COMMISSION,SFO,2017,01/01/2017,12/31/2017,07/14/2018,Cover,"Crews, Cynthia",Local Agency Formation Commission,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Member,filerDivisionBoardDistrict:Local Agency Formation Commission,electionDate:N/A",Member,Cynthia,Kay,Crews ,false,,true,San Francisco,false,,true,false,false,N/A,,false,,false,,,true,,false,,1,228,3b6f5cdbd9a94b0fa39cb900a8802d52,0,0,0,0,0,0,0,0
SFO-154975,172477543,98b576f2a2f344179f7098c15c236f60,SFO,City and County of San Francisco,SFO,2018,06/13/2017,06/12/2018,07/12/2018,Cover,"Curry, Jada",Children Youth and Their Families Oversight and Advisory Committee,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-06-12T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Children Youth and Their Families Oversight and Advisory Committee,electionDate:N/A",,Jada,,Curry,true,San Francisco,true,San Francisco,false,,true,false,false,N/A,,true,06/12/2018,false,,,false,,false,,1,228,98b576f2a2f344179f7098c15c236f60,0,0,0,2,0,0,0,0
SFO-151839,172470840,65e0ddc32f844e5ea42897ff963c66ba,SFO,City and County of San Francisco,SFO,2018,01/23/2018,07/11/2018,07/11/2018,Cover,"Farrell, Mark",Mayor Office of the,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",,Mark,E.,Farrell,true,San Francisco,true,San Francisco,false,,false,false,false,N/A,,false,,true,01/23/2018,07/11/2018,false,,false,,1,228,65e0ddc32f844e5ea42897ff963c66ba,18,7,0,1,0,0,0,0
SFO-154980,172443838,09445e9fd84148d98f48ba40b02ab7d7,SFO,City and County of San Francisco,SFO,2018,07/04/2017,07/03/2018,07/10/2018,Cover,"Prohaska, Ed",Fine Arts Museums,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-07-03T00:00:00.0000000-07:00,filerPosition:Acting Director,filerDivisionBoardDistrict:Fine Arts Museums,electionDate:N/A",,Ed,,Prohaska,false,,true,San Francisco,false,,false,false,false,N/A,,true,07/03/2018,false,,,false,,false,,5,228,09445e9fd84148d98f48ba40b02ab7d7,0,0,0,0,0,0,0,0
SFO-151852,172424681,9188a55d69c54172bf7b36045f9d9c46,SFO,SAN FRANCISCO ETHICS COMMISSION,SFO,2014,01/01/2014,12/31/2014,07/09/2018,Cover,"Garcia, Barbara","Public Heath Department of, Health Authority , Workforce Investment Board","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Executive Director,filerDivisionBoardDistrict:Public Heath Department of,electionDate:None|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Board Member,filerDivisionBoardDistrict:Health Authority ,electionDate:None|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Board Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:None|leavingDate:None,filerAgency:San Francisco Health Plan ,assumingDate:None,filerPosition:board member,filerDivisionBoardDistrict:Board,electionDate:None|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Governing Board Member,filerDivisionBoardDistrict:Health Authority ,electionDate:None|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:None","Executive Director, Governing Board Member, Member",Barbara,,Garcia,true,San Francisco,true,San Francisco,false,,false,false,false,,,false,,false,,,true,,false,,"1,2",199,9188a55d69c54172bf7b36045f9d9c46,0,0,0,2,0,0,0,1
SFO-151852,172424541,866f579d4e264ce1a1b0898f2b018d8c,SFO,SAN FRANCISCO ETHICS COMMISSION,SFO,2016,01/01/2016,12/31/2016,07/09/2018,Cover,"Garcia, Barbara","Public Heath Department of, Health Authority, Workforce Investment Board","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Executive Director,filerDivisionBoardDistrict:Public Heath Department of,electionDate:None|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Board Member,filerDivisionBoardDistrict:Health Authority ,electionDate:None|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Board Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:None|leavingDate:None,filerAgency:San Francisco Health Plan ,assumingDate:None,filerPosition:board member,filerDivisionBoardDistrict:Board,electionDate:None|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Governing Board Member,filerDivisionBoardDistrict:Health Authority ,electionDate:None|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:None","Executive Director, Governing Board Member, Member",Barbara,,Garcia,true,San Francisco,true,San Francisco,false,,false,false,false,,,false,,false,,,true,,false,,"1,2",220,866f579d4e264ce1a1b0898f2b018d8c,0,0,0,2,0,0,0,1
SFO-151852,172422551,14823285cff440bcb2473db29c877afa,SFO,SAN FRANCISCO ETHICS COMMISSION,SFO,2015,01/01/2015,12/31/2015,07/09/2018,Cover,"Garcia, Barbara","Public Heath Department of, Health Authority , Workforce Investment Board","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Executive Director,filerDivisionBoardDistrict:Public Heath Department of,electionDate:None|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Board Member,filerDivisionBoardDistrict:Health Authority ,electionDate:None|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Board Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:None|leavingDate:None,filerAgency:San Francisco Health Plan ,assumingDate:None,filerPosition:board member,filerDivisionBoardDistrict:Board,electionDate:None|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Governing Board Member,filerDivisionBoardDistrict:Health Authority ,electionDate:None|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:None","Executive Director, Governing Board Member, Member",Barbara,,Garcia,true,San Francisco,true,San Francisco,false,,false,false,false,,,false,,false,,,true,,false,,"1,2",215,14823285cff440bcb2473db29c877afa,0,0,0,1,0,0,0,1
SFO-154869,172414610,1e7a9a83690a4eef87f24acd2de47d41,SFO,City and County of San Francisco,SFO,2018,01/01/2018,07/05/2018,07/07/2018,Cover,"Philhour, Marjan",Status of Women Commission on the,"leavingDate:2018-07-05T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Status of Women Commission on the,electionDate:N/A",,Marjan,,Philhour,false,,true,San Francisco,false,,false,false,false,N/A,,false,,true,01/01/2018,07/05/2018,false,,false,,1,228,1e7a9a83690a4eef87f24acd2de47d41,0,0,0,3,0,0,0,0
SFO-151839,172393886,35a645bd447d4ebd96cc8ef5318a5ab4,SFO,SAN FRANCISCO ETHICS COMMISSION,SFO,2017,01/01/2017,12/31/2017,07/06/2018,Cover,"Farrell, Mark","Board of Supervisors, Transportation Authority, Mayor Office of the","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Transportation Authority,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Health Services System,electionDate:N/A|leavingDate:2018-01-23T00:00:00.0000000-08:00,filerAgency:City and County of San Francisco,assumingDate:2016-06-02T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A","Supervisor, Commissioner, Interim Mayor",Mark,,Farrell,true,San Francisco,true,San Francisco,false,,false,false,false,N/A,,false,,false,,,true,,false,,1,228,35a645bd447d4ebd96cc8ef5318a5ab4,18,7,0,1,0,0,0,0
SFO-154978,172378060,6bf3f8039f3d4bb4959465643daaa2cd,SFO,City and County of San Francisco,SFO,2018,06/07/2017,06/06/2018,07/05/2018,Cover,"Elias, Cindy",Police Commission,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-06-06T00:00:00.0000000-07:00,filerPosition:Commissioner,filerDivisionBoardDistrict:Police Commission,electionDate:N/A",,Cindy,,Elias,false,,true,San Francisco,false,,false,false,false,N/A,,true,06/06/2018,false,,,false,,false,,1,228,6bf3f8039f3d4bb4959465643daaa2cd,0,1,0,1,0,0,0,0
SFO-154979,172365496,70781e8016d245b1a164db17b352ade8,SFO,City and County of San Francisco,SFO,2018,06/06/2017,06/05/2018,07/05/2018,Cover,"Hamasaki, John",Police Commission,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-06-05T00:00:00.0000000-07:00,filerPosition:Commissioner,filerDivisionBoardDistrict:Police Commission,electionDate:N/A",,John,M.,Hamasaki,true,San Francisco,true,San Francisco,false,,false,false,false,N/A,,true,06/05/2018,false,,,false,,false,,1,228,70781e8016d245b1a164db17b352ade8,0,1,0,2,0,0,0,1
SFO-154961,172364858,a06fc7a102f24dc79c436efee2731dcf,SFO,City and County of San Francisco,SFO,2018,06/05/2017,06/04/2018,07/05/2018,Cover,"Corvi, Matthew",Small Business Commission,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-06-04T00:00:00.0000000-07:00,filerPosition:Commissioner,filerDivisionBoardDistrict:Small Business Commission,electionDate:N/A",,Matthew,,Corvi,false,,true,San Francisco,false,,false,false,false,N/A,,true,06/04/2018,false,,,false,,false,,1,228,a06fc7a102f24dc79c436efee2731dcf,0,1,0,1,0,0,0,1
SFO-154543,172354916,644a475df1824194aa89d41048f4681f,SFO,City and County of San Francisco,SFO,2018,01/01/2018,07/11/2018,07/03/2018,Cover,"Sheehy, Jeff",Board of Supervisors,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A|leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:County Transportation Authority,electionDate:N/A|leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Health Service System Board,electionDate:N/A",,Jeff,,Sheehy,false,,true,San Francisco,false,,false,false,false,N/A,,false,,true,01/01/2018,07/11/2018,false,,false,,1,228,644a475df1824194aa89d41048f4681f,0,1,0,0,0,0,0,0
SFO-154983,172337818,3b6dbdf330e540a8834e6f15d7bffd24,SFO,City and County of San Francisco,SFO,2018,06/01/2017,05/31/2018,07/02/2018,Cover,"Sahni, Chhavi",Workforce Investment Board,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-05-31T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",,Chhavi,,Sahni,false,,true,San Francisco,false,,false,false,false,N/A,,true,05/31/2018,false,,,false,,false,,2,228,3b6dbdf330e540a8834e6f15d7bffd24,0,0,0,1,0,0,0,0
SFO-154335,172296683,b18dbe49c49b43228b45fe591e996783,SFO,City and County of San Francisco,SFO,2018,01/01/2018,07/05/2018,06/28/2018,Cover,"Hollein, Max",Fine Arts Museums,"leavingDate:2018-07-05T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Director,filerDivisionBoardDistrict:Fine Arts Museums,electionDate:N/A",,Max,,Hollein,true,San Francisco,true,San Francisco,false,,false,false,false,N/A,,false,,true,01/01/2018,07/05/2018,false,,false,,1,228,b18dbe49c49b43228b45fe591e996783,0,0,0,0,0,0,0,0
SFO-153425,172294802,657fdb19b8d240c4afe5ce50d8755474,SFO,City and County of San Francisco,SFO,2018,01/01/2018,06/22/2018,06/28/2018,Cover,"Perl, Charles",Treasury Oversight Committee,"leavingDate:2018-06-22T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Member,filerDivisionBoardDistrict:Treasury Oversight Committee,electionDate:N/A",Member,CHARLES,,PERL,true,SAN FRANCISCO,true,SAN FRANCISCO,false,,false,false,false,N/A,,false,,true,01/01/2018,06/22/2018,false,,false,,1,228,657fdb19b8d240c4afe5ce50d8755474,11,0,0,0,0,0,0,0
SFO-154868,172234738,c540eb6f38f24c0299661624d482f8d9,SFO,City and County of San Francisco,SFO,2018,03/20/2017,03/19/2018,06/23/2018,Cover,"Van Degna, Anna",Rate Fairness Board,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-03-19T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Rate Fairness Board,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-03-19T00:00:00.0000000-07:00,filerPosition:Director of Public Finance,filerDivisionBoardDistrict:Controller's Office,electionDate:N/A|leavingDate:None,filerAgency:City & County of San Francisco,assumingDate:2018-05-24T00:00:00.0000000-07:00,filerPosition:Board Member,filerDivisionBoardDistrict:SMTA Bond Oversight Committe,electionDate:N/A",,Anna,,Van Degna,true,San Francisco,true,San Francisco,false,,false,false,false,N/A,,true,03/19/2018,false,,,false,,false,,1,228,c540eb6f38f24c0299661624d482f8d9,2,0,0,1,0,4,0,0
SFO-154930,172229037,e6a7812a21f443619a4c4b62b2f5103d,SFO,City and County of San Francisco,SFO,2018,05/09/2017,05/08/2018,06/22/2018,Cover,"Hill, Charlotte",Elections Commission,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-05-08T00:00:00.0000000-07:00,filerPosition:Commisisoner,filerDivisionBoardDistrict:Elections Commission,electionDate:N/A",,Charlotte,,Hill,false,,true,San Francisco,false,,false,false,false,N/A,,true,05/08/2018,false,,,false,,false,,2,228,e6a7812a21f443619a4c4b62b2f5103d,81,0,0,2,0,0,0,0
SFO-154909,172161137,b3931e7dc1d34f60bcb5ff95677575f4,SFO,City and County of San Francisco,SFO,2018,02/22/2017,02/21/2018,06/18/2018,Cover,"Ghassemzadeh, Bahman",Board of Examiners,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-02-21T00:00:00.0000000-08:00,filerPosition:Member,filerDivisionBoardDistrict:Board of Examiners,electionDate:N/A",,Bahman,,Ghassemzadeh,false,,true,San Francisco,false,,false,false,false,N/A,,true,02/21/2018,false,,,false,,false,,1,228,b3931e7dc1d34f60bcb5ff95677575f4,0,1,4,1,0,0,0,0
SFO-153875,172149070,af7ee159434d4044b8dc18e6964a4716,SFO,SAN FRANCISCO ETHICS COMMISSION,SFO,2017,01/01/2017,12/31/2017,06/15/2018,Cover,"Davila, Brigitte",Community College District,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Member of the Board of Trustees,filerDivisionBoardDistrict:Community College District,electionDate:N/A",Member of the Board of Trustees,Brigitte,,Davila,false,,true,San Francisco,false,,false,false,false,N/A,,false,,false,,,true,,false,,1,228,af7ee159434d4044b8dc18e6964a4716,0,0,1,3,0,0,0,0
SFO-153875,172148995,225d1da25edf4395a425fce1d8ed1d11,SFO,SAN FRANCISCO ETHICS COMMISSION,SFO,2015,01/01/2015,12/31/2015,06/15/2018,Cover,"Davila, Brigitte",Community College District,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Member of the Board of Trustees,filerDivisionBoardDistrict:Community College District,electionDate:None",Member of the Board of Trustees,Brigitte,,Davila,false,,true,San Francisco,false,,false,false,false,,,false,,false,,,true,,false,,1,215,225d1da25edf4395a425fce1d8ed1d11,0,0,1,3,0,0,0,0
SFO-154881,172118635,3729c4740c9848b99f46f099478f21f2,SFO,City and County of San Francisco,SFO,2018,04/17/2017,04/16/2018,06/14/2018,Cover,"Ryan, Kevin",Ethics Commission,"leavingDate:2018-05-01T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Ethics Commission,electionDate:N/A",,Kevin,,Ryan,false,,true,San Francisco,false,,false,false,false,N/A,,true,04/16/2018,true,05/02/2017,05/01/2018,false,,false,,1,228,3729c4740c9848b99f46f099478f21f2,3,2,0,1,0,0,0,6
SFO-1489,172062862,400afdae90fd490a87d94776694f63c7,SFO,City and County of San Francisco,SFO,2018,05/11/2017,05/10/2018,06/10/2018,Cover,"Sullivan, Michael",Environment Commission on the,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-05-10T00:00:00.0000000-07:00,filerPosition:Commissioner,filerDivisionBoardDistrict:Environment Commission on the,electionDate:N/A",,Michael,Joseph,Sullivan,false,,true,San Francisco,false,,false,false,false,N/A,,true,05/10/2018,false,,,false,,false,,1,228,400afdae90fd490a87d94776694f63c7,0,1,1,2,0,0,0,0
SFO-154932,172059583,d709b77d15db4b44b5b17a3e49c026a4,SFO,City and County of San Francisco,SFO,2018,05/19/2017,05/18/2018,06/09/2018,Cover,"Madison, William",Finance Corporation,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-05-18T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Finance Corporation,electionDate:N/A",,William,Hopkins,Madison,false,,true,San Francisco,false,,false,false,false,N/A,,true,05/18/2018,false,,,false,,false,,,228,d709b77d15db4b44b5b17a3e49c026a4,0,0,0,0,0,0,0,0
SFO-152933,172045311,85db77cc49804c81bbb7167de49bf10b,SFO,City and County of San Francisco,SFO,2018,01/01/2018,05/31/2018,06/08/2018,Cover,"Rufo, Todd",Economic Workforce and Development,"leavingDate:2018-05-31T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Director,filerDivisionBoardDistrict:Economic Workforce and Development,electionDate:N/A",Director,Todd,Tom,Rufo,true,San Francisco,true,San Francisco,false,,false,false,false,N/A,,false,,true,01/01/2018,05/31/2018,false,,false,,1,228,85db77cc49804c81bbb7167de49bf10b,2,0,0,2,0,3,0,0
SFO-152059,172014871,e2769aabcc304bd18123437c7c97d1bd,SFO,City and County of San Francisco,SFO,2018,01/01/2018,05/21/2018,06/06/2018,Cover,"Ramos, Joel",Municipal Transportation Agency,"leavingDate:2018-05-21T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Member, Board of Directors,filerDivisionBoardDistrict:Municipal Transportation Agency,electionDate:N/A|leavingDate:2018-05-21T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Parking Authority,electionDate:N/A","Member, Board of Directors",Joel,Thomas,Ramos,true,San Francisco,true,San Francisco,true,California,false,false,false,N/A,,false,,true,01/01/2018,05/21/2018,false,,false,,1,228,e2769aabcc304bd18123437c7c97d1bd,0,0,0,2,0,0,0,0
