Filer Name,Department Name,Position Name,Offices,Period Start,Period End,Filing Date,Filer,Filing,Id,Transaction Type,Name Of Business Entity,Business Description,Fair Market Value,Fair Market Value As Range,Nature Of Investment,Nature Of Investment Other Description,Partnership Amount,Partnership Amount As Range,Date Acquired,Date Disposed
"Farrell, Mark",Mayor Office of the,,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",01/23/2018,07/11/2018,07/11/2018,SFO-151839,172470840,086fde03964347f7b16a594cd715260e,ScheduleA1,Groupize,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark",Mayor Office of the,,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",01/23/2018,07/11/2018,07/11/2018,SFO-151839,172470840,e7bb4c7f58bd44ab920c61c4cca97389,ScheduleA1,Options Away,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark",Mayor Office of the,,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",01/23/2018,07/11/2018,07/11/2018,SFO-151839,172470840,03cf044a1fdc46fc81a9ada9e65309a8,ScheduleA1,Reserbus,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark",Mayor Office of the,,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",01/23/2018,07/11/2018,07/11/2018,SFO-151839,172470840,cc444e056181496eb0f632b1f0c2d6ca,ScheduleA1,1D90T,Software Company,1000000.00,"Over $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark",Mayor Office of the,,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",01/23/2018,07/11/2018,07/11/2018,SFO-151839,172470840,338754d1dfb64953b3d56fcf51c4e39a,ScheduleA1,Social Tables,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark",Mayor Office of the,,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",01/23/2018,07/11/2018,07/11/2018,SFO-151839,172470840,7b5580d8afd547dd96591b115572315b,ScheduleA1,tripBAM      ,Software Company,1000000.00,"Over $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark",Mayor Office of the,,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",01/23/2018,07/11/2018,07/11/2018,SFO-151839,172470840,0e6b181428a94e21bb7676f9b6bab2b9,ScheduleA1,BookingPal,Software Company,1000000.00,"Over $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark","Board of Supervisors, Transportation Authority, Mayor Office of the","Supervisor, Commissioner, Interim Mayor","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Transportation Authority,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Health Services System,electionDate:N/A|leavingDate:2018-01-23T00:00:00.0000000-08:00,filerAgency:City and County of San Francisco,assumingDate:2016-06-02T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",01/01/2017,12/31/2017,07/06/2018,SFO-151839,172393886,f924f767b0f94624aa47b7e1d3db9cc1,ScheduleA1,Adara Media        ,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark","Board of Supervisors, Transportation Authority, Mayor Office of the","Supervisor, Commissioner, Interim Mayor","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Transportation Authority,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Health Services System,electionDate:N/A|leavingDate:2018-01-23T00:00:00.0000000-08:00,filerAgency:City and County of San Francisco,assumingDate:2016-06-02T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",01/01/2017,12/31/2017,07/06/2018,SFO-151839,172393886,6fdf342b1b974ebf956a6999f097d0ed,ScheduleA1,Liftopia      ,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
"Perl, Charles",Treasury Oversight Committee,Member,"leavingDate:2018-06-22T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Member,filerDivisionBoardDistrict:Treasury Oversight Committee,electionDate:N/A",01/01/2018,06/22/2018,06/28/2018,SFO-153425,172294802,5ee4d68e93a24eae86f2381662df830f,ScheduleA1,DIRECTV CORP,TV SERVICE PROVIDER,10000.00,"$10,001 - $100,000",Other,BOND,0.00,Unset,,
"Farrell, Mark","Board of Supervisors, Transportation Authority, Mayor Office of the","Supervisor, Commissioner, Interim Mayor","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Transportation Authority,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Health Services System,electionDate:N/A|leavingDate:2018-01-23T00:00:00.0000000-08:00,filerAgency:City and County of San Francisco,assumingDate:2016-06-02T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",01/01/2017,12/31/2017,07/06/2018,SFO-151839,172393886,23f95069731a4f79bd645a9064771dff,ScheduleA1,Traxo         ,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark","Board of Supervisors, Transportation Authority, Mayor Office of the","Supervisor, Commissioner, Interim Mayor","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Transportation Authority,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Health Services System,electionDate:N/A|leavingDate:2018-01-23T00:00:00.0000000-08:00,filerAgency:City and County of San Francisco,assumingDate:2016-06-02T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",01/01/2017,12/31/2017,07/06/2018,SFO-151839,172393886,039968a584b344aeaf9cdfb77d32bc0d,ScheduleA1,Uplift,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark","Board of Supervisors, Transportation Authority, Mayor Office of the","Supervisor, Commissioner, Interim Mayor","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Transportation Authority,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Health Services System,electionDate:N/A|leavingDate:2018-01-23T00:00:00.0000000-08:00,filerAgency:City and County of San Francisco,assumingDate:2016-06-02T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",01/01/2017,12/31/2017,07/06/2018,SFO-151839,172393886,f8c1f3d563d24f609f4a796985ece0eb,ScheduleA1,Groupize,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark","Board of Supervisors, Transportation Authority, Mayor Office of the","Supervisor, Commissioner, Interim Mayor","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Transportation Authority,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Health Services System,electionDate:N/A|leavingDate:2018-01-23T00:00:00.0000000-08:00,filerAgency:City and County of San Francisco,assumingDate:2016-06-02T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",01/01/2017,12/31/2017,07/06/2018,SFO-151839,172393886,1fd6073f919e4b7dbd59df024aa44d4d,ScheduleA1,tripBAM      ,Software Company,1000000.00,"Over $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark","Board of Supervisors, Transportation Authority, Mayor Office of the","Supervisor, Commissioner, Interim Mayor","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Transportation Authority,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Health Services System,electionDate:N/A|leavingDate:2018-01-23T00:00:00.0000000-08:00,filerAgency:City and County of San Francisco,assumingDate:2016-06-02T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",01/01/2017,12/31/2017,07/06/2018,SFO-151839,172393886,648da29a24ef4ef5b1b40bb7a3bbc77a,ScheduleA1,BookingPal,Software Company,1000000.00,"Over $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark","Board of Supervisors, Transportation Authority, Mayor Office of the","Supervisor, Commissioner, Interim Mayor","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Transportation Authority,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Health Services System,electionDate:N/A|leavingDate:2018-01-23T00:00:00.0000000-08:00,filerAgency:City and County of San Francisco,assumingDate:2016-06-02T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",01/01/2017,12/31/2017,07/06/2018,SFO-151839,172393886,39064632f4bf4a0d9176a107f18fb313,ScheduleA1,Options Away,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark","Board of Supervisors, Transportation Authority, Mayor Office of the","Supervisor, Commissioner, Interim Mayor","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Transportation Authority,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Health Services System,electionDate:N/A|leavingDate:2018-01-23T00:00:00.0000000-08:00,filerAgency:City and County of San Francisco,assumingDate:2016-06-02T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",01/01/2017,12/31/2017,07/06/2018,SFO-151839,172393886,4c99df82e6d24b5cbbfd1947e66098fb,ScheduleA1,Switchfly      ,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark","Board of Supervisors, Transportation Authority, Mayor Office of the","Supervisor, Commissioner, Interim Mayor","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Transportation Authority,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Health Services System,electionDate:N/A|leavingDate:2018-01-23T00:00:00.0000000-08:00,filerAgency:City and County of San Francisco,assumingDate:2016-06-02T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",01/01/2017,12/31/2017,07/06/2018,SFO-151839,172393886,f35b6f83d5bf4b9f845c3b6872d11db0,ScheduleA1,Nor1,Software Company,10000.00,"$10,001 - $100,000",Stock,,0.00,Unset,,
"Farrell, Mark","Board of Supervisors, Transportation Authority, Mayor Office of the","Supervisor, Commissioner, Interim Mayor","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Transportation Authority,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Health Services System,electionDate:N/A|leavingDate:2018-01-23T00:00:00.0000000-08:00,filerAgency:City and County of San Francisco,assumingDate:2016-06-02T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",01/01/2017,12/31/2017,07/06/2018,SFO-151839,172393886,ba97787981d74e7ebe71ed482f441145,ScheduleA1,Duetto Research     ,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark","Board of Supervisors, Transportation Authority, Mayor Office of the","Supervisor, Commissioner, Interim Mayor","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Transportation Authority,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Health Services System,electionDate:N/A|leavingDate:2018-01-23T00:00:00.0000000-08:00,filerAgency:City and County of San Francisco,assumingDate:2016-06-02T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",01/01/2017,12/31/2017,07/06/2018,SFO-151839,172393886,4d0e5adc7ff543d9b4ddfb5e5fe9c01a,ScheduleA1,1D90T,Software Company,1000000.00,"Over $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark","Board of Supervisors, Transportation Authority, Mayor Office of the","Supervisor, Commissioner, Interim Mayor","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Transportation Authority,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Health Services System,electionDate:N/A|leavingDate:2018-01-23T00:00:00.0000000-08:00,filerAgency:City and County of San Francisco,assumingDate:2016-06-02T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",01/01/2017,12/31/2017,07/06/2018,SFO-151839,172393886,8460b6200db8429993e7706ff0c07a13,ScheduleA1,POSIQ,Software Company,1000000.00,"Over $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark","Board of Supervisors, Transportation Authority, Mayor Office of the","Supervisor, Commissioner, Interim Mayor","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Transportation Authority,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Health Services System,electionDate:N/A|leavingDate:2018-01-23T00:00:00.0000000-08:00,filerAgency:City and County of San Francisco,assumingDate:2016-06-02T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",01/01/2017,12/31/2017,07/06/2018,SFO-151839,172393886,d6b484b58ed9456596d0e8c6ef4ed416,ScheduleA1,Sonder,Software Company,1000000.00,"Over $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark","Board of Supervisors, Transportation Authority, Mayor Office of the","Supervisor, Commissioner, Interim Mayor","leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Transportation Authority,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Health Services System,electionDate:N/A|leavingDate:2018-01-23T00:00:00.0000000-08:00,filerAgency:City and County of San Francisco,assumingDate:2016-06-02T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",01/01/2017,12/31/2017,07/06/2018,SFO-151839,172393886,950af1b601b443dfad5bf06c26bac5a3,ScheduleA1,Reserbus,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
